Date;Trips
2013-12-21;146
2013-12-22;107
2013-12-23;116
2013-12-24;80
2013-12-25;35
2013-12-26;75
2013-12-27;98
2013-12-28;109
2013-12-29;126
2013-12-30;106
2013-12-31;161
2014-01-01;154
2014-01-02;88
2014-01-03;113
2014-01-04;136
2014-01-05;95
2014-01-06;74
2014-01-07;96
2014-01-08;122
2014-01-09;136
2014-01-10;154
2014-01-11;139
2014-01-12;93
2014-01-13;92
2014-01-14;104
2014-01-15;113
2014-01-16;131
2014-01-17;156
2014-01-18;142
2014-01-19;121
2014-01-20;76
2014-01-21;92
2014-01-22;125
2014-01-23;131
2014-01-24;161
2014-01-25;154
2014-01-26;79
2014-01-27;79
2014-01-28;91
2014-01-29;122
2014-01-30;130
2014-01-31;133
2014-02-01;150
2014-02-02;116
2014-02-03;110
2014-02-04;122
2014-02-05;118
2014-02-06;131
2014-02-07;165
2014-02-08;157
2014-02-09;98
2014-02-10;121
2014-02-11;100
2014-02-12;111
2014-02-13;141
2014-02-14;176
2014-02-15;161
2014-02-16;137
2014-02-17;76
2014-02-18;128
2014-02-19;116
2014-02-20;147
2014-02-21;169
2014-02-22;163
2014-02-23;123
2014-02-24;101
2014-02-25;132
2014-02-26;137
2014-02-27;149
2014-02-28;145
2014-03-01;163
2014-03-02;141
2014-03-03;147
2014-03-04;110
2014-03-05;110
2014-03-06;149
2014-03-07;141
2014-03-08;143
2014-03-09;111
2014-03-10;120
2014-03-11;123
2014-03-12;143
2014-03-13;149
2014-03-14;167
2014-03-15;253
2014-03-16;143
2014-03-17;132
2014-03-18;129
2014-03-19;133
2014-03-20;130
2014-03-21;154
2014-03-22;169
2014-03-23;136
2014-03-24;101
2014-03-25;113
2014-03-26;109
2014-03-27;136
2014-03-28;168
2014-03-29;130
2014-03-30;135
2014-03-31;104
2014-04-01;116
2014-04-02;129
2014-04-03;161
2014-04-04;196
2014-04-05;174
2014-04-06;137
2014-04-07;105
2014-04-08;121
2014-04-09;149
2014-04-10;162
2014-04-11;156
2014-04-12;150
2014-04-13;129
2014-04-14;121
2014-04-15;129
2014-04-16;129
2014-04-17;156
2014-04-18;164
2014-04-19;135
2014-04-20;103
2014-04-21;126
2014-04-22;134
2014-04-23;128
2014-04-24;172
2014-04-25;137
2014-04-26;189
2014-04-27;149
2014-04-28;126
2014-04-29;112
2014-04-30;156
2014-05-01;157
2014-05-02;190
2014-05-03;164
2014-05-04;140
2014-05-05;144
2014-05-06;146
2014-05-07;142
2014-05-08;122
2014-05-09;165
2014-05-10;148
2014-05-11;121
2014-05-12;114
2014-05-13;109
2014-05-14;120
2014-05-15;165
2014-05-16;222
2014-05-17;182
2014-05-18;148
2014-05-19;115
2014-05-20;148
2014-05-21;120
2014-05-22;146
2014-05-23;165
2014-05-24;192
2014-05-25;145
2014-05-26;100
2014-05-27;115
2014-05-28;134
2014-05-29;144
2014-05-30;191
2014-05-31;185
2014-06-01;153
2014-06-02;137
2014-06-03;119
2014-06-04;147
2014-06-05;136
2014-06-06;186
2014-06-07;175
2014-06-08;151
2014-06-09;121
2014-06-10;154
2014-06-11;131
2014-06-12;132
2014-06-13;178
2014-06-14;181
2014-06-15;125
2014-06-16;118
2014-06-17;122
2014-06-18;138
2014-06-19;164
2014-06-20;163
2014-06-21;175
2014-06-22;165
2014-06-23;129
2014-06-24;118
2014-06-25;135
2014-06-26;145
2014-06-27;182
2014-06-28;189
2014-06-29;141
2014-06-30;110
2014-07-01;109
2014-07-02;124
2014-07-03;117
2014-07-04;122
2014-07-05;121
2014-07-06;99
2014-07-07;97
2014-07-08;105
2014-07-09;112
2014-07-10;141
2014-07-11;159
2014-07-12;166
2014-07-13;158
2014-07-14;103
2014-07-15;97
2014-07-16;133
2014-07-17;145
2014-07-18;161
2014-07-19;172
2014-07-20;161
2014-07-21;119
2014-07-22;154
2014-07-23;129
2014-07-24;141
2014-07-25;197
2014-07-26;181
2014-07-27;127
2014-07-28;120
2014-07-29;132
2014-07-30;138
2014-07-31;133
2014-08-01;186
2014-08-02;137
2014-08-03;145
2014-08-04;116
2014-08-05;113
2014-08-06;115
2014-08-07;129
2014-08-08;174
2014-08-09;165
2014-08-10;131
2014-08-11;118
2014-08-12;106
2014-08-13;124
2014-08-14;137
2014-08-15;159
2014-08-16;167
2014-08-17;139
2014-08-18;85
2014-08-19;118
2014-08-20;115
2014-08-21;145
2014-08-22;159
2014-08-23;137
2014-08-24;133
2014-08-25;106
2014-08-26;108
2014-08-27;116
2014-08-28;125
2014-08-29;172
2014-08-30;155
2014-08-31;136
2014-09-01;80
2014-09-02;88
2014-09-03;109
2014-09-04;130
2014-09-05;165
2014-09-06;141
2014-09-07;141
2014-09-08;107
2014-09-09;120
2014-09-10;146
2014-09-11;144
2014-09-12;175
2014-09-13;172
2014-09-14;118
2014-09-15;94
2014-09-16;119
2014-09-17;153
2014-09-18;127
2014-09-19;178
2014-09-20;172
2014-09-21;117
2014-09-22;100
2014-09-23;107
2014-09-24;129
2014-09-25;127
2014-09-26;158
2014-09-27;147
2014-09-28;124
2014-09-29;132
2014-09-30;130
2014-10-01;135
2014-10-02;130
2014-10-03;144
2014-10-04;150
2014-10-05;117
2014-10-06;109
2014-10-07;121
2014-10-08;124
2014-10-09;123
2014-10-10;154
2014-10-11;147
2014-10-12;114
2014-10-13;105
2014-10-14;139
2014-10-15;119
2014-10-16;129
2014-10-17;163
2014-10-18;196
2014-10-19;157
2014-10-20;109
2014-10-21;110
2014-10-22;118
2014-10-23;118
2014-10-24;136
2014-10-25;152
2014-10-26;111
2014-10-27;120
2014-10-28;120
2014-10-29;130
2014-10-30;132
2014-10-31;190
2014-11-01;185
2014-11-02;139
2014-11-03;129
2014-11-04;111
2014-11-05;106
2014-11-06;146
2014-11-07;165
2014-11-08;158
2014-11-09;126
2014-11-10;103
2014-11-11;114
2014-11-12;139
2014-11-13;154
2014-11-14;142
2014-11-15;174
2014-11-16;134
2014-11-17;132
2014-11-18;140
2014-11-19;139
2014-11-20;136
2014-11-21;167
2014-11-22;133
2014-11-23;121
2014-11-24;124
2014-11-25;124
2014-11-26;102
2014-11-27;74
2014-11-28;89
2014-11-29;100
2014-11-30;107
2014-12-01;129
2014-12-02;144
2014-12-03;160
2014-12-04;176
2014-12-05;151
2014-12-06;171
2014-12-07;119
2014-12-08;122
2014-12-09;118
2014-12-10;133
2014-12-11;134
2014-12-12;175
2014-12-13;169
2014-12-14;119
2014-12-15;122
2014-12-16;135
2014-12-17;114
2014-12-18;163
2014-12-19;172
2014-12-20;144
2014-12-21;113
2014-12-22;108
2014-12-23;100
2014-12-24;68
2014-12-25;29
2014-12-26;61
2014-12-27;90
2014-12-28;89
2014-12-29;122
2014-12-30;96
2014-12-31;136
2015-01-01;111
2015-01-02;75
2015-01-03;84
2015-01-04;79
2015-01-05;107
2015-01-06;104
2015-01-07;106
2015-01-08;129
