Date;Trips
2017-04-01;43
2017-04-02;60
2017-04-03;71
2017-04-04;62
2017-04-05;76
2017-04-06;72
2017-04-07;88
2017-04-08;54
2017-04-09;49
2017-04-10;59
2017-04-11;60
2017-04-12;63
2017-04-13;68
2017-04-14;53
2017-04-15;44
2017-04-16;37
2017-04-17;58
2017-04-18;60
2017-04-19;64
2017-04-20;69
2017-04-21;70
2017-04-22;49
2017-04-23;42
2017-04-24;58
2017-04-25;70
2017-04-26;68
2017-04-27;79
2017-04-28;60
2017-04-29;71
2017-04-30;33
2017-05-01;58
2017-05-02;67
2017-05-03;64
2017-05-04;86
2017-05-05;78
2017-05-06;64
2017-05-07;36
2017-05-08;59
2017-05-09;57
2017-05-10;71
2017-05-11;69
2017-05-12;62
2017-05-13;46
2017-05-14;43
2017-05-15;52
2017-05-16;51
2017-05-17;66
2017-05-18;69
2017-05-19;82
2017-05-20;49
2017-05-21;48
2017-05-22;70
2017-05-23;76
2017-05-24;73
2017-05-25;44
2017-05-26;59
2017-05-27;21
2017-05-28;45
2017-05-29;29
2017-05-30;46
2017-05-31;46
