Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
7;5169;Regensburg Hbf;Überführung als Bahnsteigszugang;10248830;Personenaufzug Bstg 2 HA 0007;93047;Regensburg;BSTG II;Thyssen Krupp;2003;Personenaufzüge;SEIL;2;1;2;10000;64000;GLEIS 4/5;10500000;BAHNSTEIGMITTE;10000000;21000000;11000000;21900000;zu Gleis 4/5 Abschnitt C;21000000;252522150;ES2;12,0998225;49,0117883;;
6;6292;Tuttlingen;Bahnsteig 03 (Gleis 4/5);10556568;Bstg. 3, Personenaufzug (20048438-2);78532;Tuttlingen;BAHNSTEIG 3;Schindler;2017;Personenaufzüge;SEIL;2;2152;2;10000;43580;;6500000;;;;;;zum Gleis 4/5;;20048438-2;;8,798488;47,980633;;
4;6914;Wuppertal Hbf;Bahnsteig 02 (Gl 2/3);10502375;Personenaufzug Bstg. 2;42103;Wuppertal;BAHNSTEIG 2;Schindler GmbH;2017;Personenaufzüge;SEIL;2;2;2;10000;39900;INNEN;10500000;;10000000;22400000;10300000;22000000;zu Gleis 2/3;21000000;10949562;ES2;7,1498703;51,2544457;;
4;1311;Dortmund-Kley;S-Bahnsteig 01;10480252;Personenaufzug Bstg. 1;44149;Dortmund;BAHNSTEIG 1;;2014;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 1/2 (S-Bahn);;;;7,3649464;51,4894706;;
2;1352;Dresden-Neustadt;Flur 2  mit Aufzügen;10186968;Aufzug Nr.20 Keller/TH/ID293920 INAK;1097;Dresden;KELLERGANG HANSASTR.;Aufzugswerk Leipzig;1975;Personenaufzüge;HYDRAULISCH;3;1;3;2000;85000;;5000000;;;;;;;;;;;;;
7;4248;München-Berg am Laim;Bahnsteig 01 Gl.1/2;10441373;HA 1055 Personenaufzug Gleis 1/2;81673;München;BAHNSTEIG ZUGANG UNTERFÜHRUNG;ThyssenKrupp Aufzüge GmbH;2009;Personenaufzüge;SEIL;2;2;2;10000;70700;GLEIS 1/2;13500000;BAHNSTEIGMITTE;11000000;21000000;14000000;20700000;zu Gleis 1/2;20000000;285008056;;11,633373;48,1339871;;
7;944;Buchloe;Bahnsteig A Gleis 1;10589930;Personenaufzug Bahnsteig 1 Gl 1;86807;Buchloe;BAHNSTEIG 1 GL 1;ThyssenKrupp;2018;Personenaufzüge;SEIL;2;2;2;;;;10500000;;10000000;16800000;16800000;22000000;zu Gleis 1;;285017074;ES2;10,7167762;48,0338552;;
3;7179;Langenhagen-Mitte;Bahnsteig Gleis 1;10093597;Personenaufzug Nr. 21274 Bstg Gl 1;30853;Langenhagen;BSTG GL 1;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2;1;2;4000;51500;;11000000;;10000000;21000000;11000000;22000000;zu Gleis 2/3;21000000;21274;ZS2;9,725815445;52,44085092;;
2;4955;Plauen (Vogtl) ob Bf;Plauen (Vogtl) ob Bf Bahnsteig 5;10286645;Personenaufzug Bstg. 5/6;8525;Plauen;BSTG. 5/6;Thyssen Krupp;2006;Personenaufzüge;SEIL;2;1;2;10000;33900;AUßEN;10000000;;;;;;zu Gleis 5/6;;;;12,1302121;50,5061027;;
2;4309;Naumburg (Saale) Hbf;Bahnsteig 4-5;10502105;Personenaufzug Bstg 4/5;6618;Naumburg;;;2016;Personenaufzüge;SEIL;2;1;2;;;;;;;;;;zu Gleis 4/5;;10902941;;11.7957287;51.1627442;;
4;1392;Düren;Bahnsteig 3 (Gl.5/6);10205337;Personenaufzug;52349;Düren;BAHNSTEIG 3;Mahler u. Paulus Aufzugsdienst;2000;Personenaufzüge;HYDRAULISCH;2;1;2;4000;48300;;10000000;;;;;;zu Gleis 5/6;;;;6,482449;50,8091951;;
6;636;Bietigheim-Bissingen;Bahnsteig 03;10499799;PAufzug_HA1602_Bstg. 3;74321;Bietigheim-Bissingen;;Schindler GmbH;2016;Personenaufzüge;SEIL;2;2;;10000;47300;;10500000;;;;;;zu Gleis 7/8;;10876187;;9,13767;48,94802;;
4;6037;Stolberg (Rheinl) Hbf;Bahnsteig 2 (Gleis 41/42);10534653;Personenaufzug PÜ/Bahnsteig;52222;Stolberg (Rheinl);;Fa. Schindler;2019;Personenaufzüge;SEIL;2;;2;10000;76400;;;;;;;;Aufzug zum Bahnsteig;;;;6.21786;50.79473;;
1;5422;Ruhland;Bahnsteig 3/4;10500425;Aufzug 3/4 Fabriknr. 10996520;1945;Ruhland;PERS.UNTERFÜHRUNG > BSTG.3/4;Fa. Schindler;2017;Personenaufzüge;SEIL;2;2;2;10000;41200;AUßEN;10500000;GL 3/4 TUNNEL;10000000;22500000;10500000;22000000;zu Gleis 3/4;21000000;10996520;;13,86997;51,45525;;
3;4548;Nienburg (Weser);Bahnsteig Gleis 3/4;10047338;Personenaufzug OTIS 47 KAG 124;31582;Nienburg;GL. 3/4;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;1;2;10000;44200;;10250000;;10000000;21000000;11000000;22000000;zu Gleis 3/4;21000000;47KAG124;ES2;9,2175949;52,6455422;;
2;2498;Halle (Saale) Hbf;Gleis 4 neu 2019;10567567;Personenaufzug 4/5;6112;Halle;;;2019;Personenaufzüge;SEIL;2;1;2;;;;;;;;;;;;;;11,9866251;51,4772960;;
4;3166;Kettwig;S-Bahnsteig 02;10480231;Personenaufzug Bstg. 2;45219;Essen;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;1;1;;;;;;;;;;zu Gleis 2/3 (S-Bahn);;282210080;;6,953402;51,3630919;;
6;3363;Konstanz;Bahnsteig 01;10564107;Personenaufzüge Bahnsteig 1;78462;Konstanz;BAHNSTEIG 1;Schindler;2019;Personenaufzüge;SEIL;2;1;1;10000;40600;AUßEN;10500000;;;;;22000000;zu Gleis 1;20000000;11185795;;9.17727;47.65882;;
4;104;Lennestadt-Altenhundem;Bahnsteig 01, Gl 1/2;10355276;Personenaufzug;57368;Lennestadt;ALTENHUNDEM GLEIS 1/2;OTIS GmbH & Co. OHG;2007;Personenaufzüge;HYDRAULISCH;2;2;;10000;39700;;10500000;;;;;;zu Gleis 1/2;;;;8,071624867;51,10427092;;
7;4259;München-Langwied;Bahnsteig  1;10319896;HA 1030 Personenaufzug PU/Bstg. 1_GL 1/2;81245;München;BAHNSTEIG 1, GL. 1/2;Schindler GmbH;2006;Personenaufzüge;SEIL;2;2;2;10000;54210;GLEIS 1/2;14250000;BAHNSTEIGMITTE;10000000;21000000;14000000;21800000;zu Gleis 1/2;21000000;281537;ES2;11,4326915;48,1629012;;
7;4119;Mindelheim;Bahnsteig A;10356986;Personenaufzug 47KAH 125 HA 8101;87719;Mindelheim;GLEIS 1;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2;2;2;;44400;BAHNSTEIG;10700000;BAHNSTEIGMITTE;10000000;21000000;11000000;22000000;zu Gleis 1;21000000;47KAH125;ZS2;10,50134894;48,0447608;;
3;687;Blankenese;Außenbahnsteig S-Bahn 01 Gleis 1;10501508;Personenaufzug HA 1701  (Gleis 1 zum EG);22587;Hamburg;;Schindler Aufzüge AG;2017;Personenaufzüge;SEIL;2;;;10000;43800;;10500000;;10000000;21000000;10000000;21000000;zu Gleis 1 (S-Bahn);21000000;10910812;;9,814143;53,564153;;
6;4322;Neckarsulm;Bahnsteig B 2/3;10477728;PAufzug_Thyssen 28 72 13 013_Bstg.2;74172;Neckarsulm;BAHNSTEIG 2;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;2;2;10000;40300;AUßEN;10500000;BAHNSTEIG 2;;21000000;11000000;22000000;zu Gleis 2/3;;287213013;;9,2199343;49,1891256;;
7;6252;Treuchtlingen;Bahnsteig 01 (Gl.1) 140 mtr.;10283327;Personenaufzug Bstg 1 (HA4116);91757;Treuchtlingen;BSTG 1;ThyssenKrupp Aufzüge GmbH;2003;Personenaufzüge;SEIL;2;2;2;;42000;GLEIS 1;16000000;BAHNSTEIGMITTE;10000000;21000000;11000000;21000000;zu Gleis 1;21000000;252522141;ES2;10,9085975;48,9612927;;
6;6531;Wangen (Allgäu);Bahnsteig 1;10565311;Aufzug Bstg 1;88239;Wangen;;Schindler;2020;Personenaufzüge;SEIL;2;2;2;10000;44250;;10500000;;;;;22000000;;21000000;11262008;;;;;
2;797;Borsdorf (Sachs);Borsdorf (Sachs) Bahnsteig 2/3;10122710;Personenaufzug / Bstg. 2;4451;Borsdorf;;Aufzugsbau Dresden;2002;Personenaufzüge;HYDRAULISCH;2;2;2;4500;50000;AUßEN;10500000;;;;;;zu Gleis 2/3 (S-Bahn);;;;12,5412691;51,3456457;;
6;3183;Kirchberg (Murr);Bahnsteig 01;10468409;PAufzug_HA0370_Bstg.1;71737;Kirchberg an der Murr;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;1;2;;50000;;;;;;;;zu Gleis 1;;287211060;;9,3289098;48,9392383;;
6;6078;Stuttgart-Feuerbach;Bahnsteig 01, Gleis 1;10499293;PAufzug_HA01901_Bstg. 1, Gl. 1;70469;Stuttgart-Feuerbach;;Thyssenkrupp Aufzüge GmbH;2019;Personenaufzüge;SEIL;2;2;2;10000;59000;;10000000;;10000000;21000000;11000000;22000000;zu Gleis 1;21000000;287018081;;9.168779;48.813942;;
1;6899;Wuhlheide;S-Bahnsteig 01;10455367;AZ Gl. 1-2 / Fabrik-Nr: 47KAL860;12683;Berlin;;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2;2;2;10000;50000;AUßEN;10700000;"GL1/2;AUSGANG";10000000;21000000;11000000;22000000;zu Gleis 1/2 (S-Bahn);21000000;47KAL860;ES2;13,5531722;52,4690661;;
4;1406;Düsseldorf-Derendorf;Bahnsteig 01;10488945;Personenaufzug Bahnsteig HA 1078;40470;Düsseldorf;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;2;4;10000;57950;;10500000;PERSONENÜBERFÜHRUNG;10000000;21000000;11000000;22000000;zu Gleis 1/2;21000000;282010060;ZS2;6,7945887;51,2474984;;
4;1304;Dortmund-Dorstfeld;Pavillon,Eingangsbereich Kortental,;10014316;HA 1120 Personenaufzug  D Gl 2;44149;Dortmund;GLEIS 2;Haushahn GmbH & Co. KG;1997;Personenaufzüge;HYDRAULISCH;2;1;2;7800;131900;NEBEN;10000000;;;;;;Gleis 2;;;;7,4239255;51,5086569;;
6;5682;Schorndorf;Bahnsteig 02, Gleise 2+3;10307734;PAufzug_HA0392_Bstg.3, Gl.4/5;73614;Schorndorf;WARTUNG DUCH STADT;Kone;2003;Personenaufzüge;SEIL;2;2;2;10000;42200;;10000000;;;;;;zu Gleis 4/5;;5840775;;9,5260327;48,8070949;;
6;277;Bad Friedrichshall Hbf;Bahnsteig D 10/11;10492308;PAufzug_Thyssen_Bstg.10/11;74177;Bad Friedrichshall;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 10/11;;;;9,1993461;49,2314404;;
1;478;Bad Belzig;Bahnsteig 2;10323737;Az Gl. 2 Fabrik.Nr.:47KAE293;14806;Belzig;FGBR ZUM BSTG 2;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2;2;2;10000;60900;BSTG. ANFANG;10700000;BSTG. ANFANG;10000000;23000000;11500000;22000000;zu Gleis 2;21000000;47KAE293;ZS2;12,5945118;52,1360284;Aufzug Gleis 2;Regionalverkehr
3;425;Bassum;Mittelbahnsteig;10499358;Personenaufzug Gl. 2-4 (10798072);27211;Bassum;GLEIS 2/4;Schindler GmbH;2015;Personenaufzüge;SEIL;2;2;2;10000;45500;;10500000;;10000000;;;;zu Gleis 2/4;21000000;10798072;;8.739753;52.847243;;
7;1783;Feucht;Bahnsteig 2 - Gl. 2/3;10455276;Personenaufzug Bstg 2/3 (HA4155);90537;Feucht;PERSONENAUFZUG GLEIS 2/3;Thyssen Krupp;2011;Personenaufzüge;SEIL;2;2;2;;36700;INTEGRIERT;10500000;GLEIS 2/3;10000000;21000000;11000000;22000000;zu Gleis 2/3;21000000;285110039;ZS2;11,2035065;49,3820748;;
4;5247;Rheda-Wiedenbrück;Bahnsteig 9/10;10508890;Personenaufzug Bstg. 9/10;33378;Rheda -Wiedenbrück;;Schindler;2017;Personenaufzüge;SEIL;2;2;2;10000;51000;;10500000;;;;;;Gleis 9/10;;;;8,2864287;51,8573837;;
6;4017;Meckesheim;Bahnsteig B 2/3;10440838;PAufzug_OTIS 47NAL642_Bstg.2;74909;Meckesheim;BAHNSTEIG 2/3;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2;2;2;10000;34300;AUßEN;10500000;BAHNSTEIG 2/3;;;;;zu Gleis 2/3;;47NAL642;;8,8130491;49,3203615;;
3;317;Bad Oldesloe;Bahnsteig 4 Gl. 6/7;10004710;Personenaufzug;23843;Bad Oldesloe;GL 6/7;Rud. Prey GmbH & Co. KG;1998;Personenaufzüge;HYDRAULISCH;2;2;3;4000;60000;NEBEN;10000000;;;;;;zu Gleis 6/7;;;;10,382723;53,8052881;;
6;5682;Schorndorf;Bahnsteig 01, Gleis 1;10307731;PAufzug_HA0391_Bstg.2, Gl.2/3;73614;Schorndorf;WARTUNG DUCH STADT;Kone;2003;Personenaufzüge;SEIL;2;2;2;10000;45800;;10000000;;;;;;zu Gleis 2/3;;5840774;;9,5260539;48,8068934;;
4;3491;Lage (Lippe);Bahnsteig 2;10506304;Personenaufzug Gl 2/3;32791;Lage;BAHNSTEIG 2/3;Schindler GmbH;2015;Personenaufzüge;SEIL;2;2;2;10000;47900;;10500000;;;;;;zu Gleis 2/3;;;;8,80093;51,99188;;
3;6859;Wolfsburg Hbf;Bahnsteig Gleis 4/5;10063139;Personenaufzug 951112, siehe Text;38440;Wolfsburg;BSTG B GLEIS 4/5 <-> TUNNEL;Schmersal Aufzugsservice;1996;Personenaufzüge;HYDRAULISCH;2;2;2;6000;60000;NEBEN;10000000;;9000000;14700000;;21000000;zu Gleis 4/5 Abschnitt B/C;21000000;;;10,7877966;52,4294428;;
1;4777;Oranienburg;Bahnsteig C GL 20/24;10049567;Az Gl.20/24 Fabr. Nr. 244 099 711;16515;Oranienburg;BSTG GL 20/24 ZUR PU;Thyssen Krupp;1999;Personenaufzüge;HYDRAULISCH;2;1;2;5000;45200;NEBEN;14250000;"GL 20/24; PU";10000000;21000000;14000000;23000000;zu Gleis 20/24;21000000;244099711;ZS2;13,2490743;52,7544697;;Regionalverkehr
4;1304;Dortmund-Dorstfeld;S-Bstg.4,Pers.Aufzug zur Fußgängerbrücke;10572375;HA 1123 Personenaufzug Gl.5/6 Aufzug B;44149;Dortmund;HA 1123 AUFZUG GLEIS 5/6;Schindler;2018;Personenaufzüge;SEIL;2;2;;10000;58040;;10000000;;;;;;Gleis 5/6;21000000;10997724;;7,4241162;51,5094447;;
3;3580;Lauenbrück;Hausbahnsteig;10347643;Personenaufzug Gl. 1 (47KAF508);27389;Lauenbrück;GLEIS 1;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;2;2;10000;47700;;10500000;;;;;;zu Gleis 1;;47KAF508;;9,5631893;53,1969785;;
5;1061;Cochem (Mosel);Mittelbahnsteig Gleis 2 u. 4;10457002;Personenaufzug_HA 29 Mittelbstg. Gl. 2/4;56812;Cochem;MITTELBAHNSTEIG GLEIS 2 U. 4;;2011;Personenaufzüge;SEIL;2;2;2;10000;44700;;10500000;;;;;;von EG zu Tunnel;;;;7,166562596;50,15321389;;
2;8097;Leipzig Markt;Bahnsteig 1/2;10479404;Personenaufzug (Zugang Nord);4109;Leipzig Zentrum;;OTIS GmbH & Co. OHG;2013;Personenaufzüge;SEIL;3;2;2;;;;10000000;;;;;;EG - UG - Gleis 1/2 (S-Bahn);;;;12,3747841;51,3411149;;
4;2263;Grevenbroich;Bahnsteig 01  (Gleis 1/2);10259776;Personenaufzug;41515;Grevenbroich;EMPFANGSGEBÄUDE;Kone;2003;Personenaufzüge;SEIL;2;1;2;10000;32300;;10000000;;;;;;zu Gleis 1/2;;;;6,5803503;51,093211;;
1;4809;Ostkreuz;Fernbahnsteig Gl 1/2 Ru unten;10491002;AZ 7 Gl. 1-2 (Ru-F)/Fabrik-Nr: 10750265;10245;Berlin;;Schindler GmbH;2014;Personenaufzüge;SEIL;2;1;2;10000;27310;AUSSEN;14000000;;;;;;von Gleis 1/2 zu Gleis 11/12;;10750265;;13,4692128;52,5028706;;
7;4593;Nürnberg Hbf;Bauteil Ost  Räume 1-32 / 77+81;10237829;LA2 - Anlieferzone (HA4010);90443;Nürnberg;LASTENAUFZUG 2;Schmitt&Sohn;2002;Personenaufzüge;SEIL;2;4;8;;;;17000000;;;;;;;21000000;76931;;11,081117;49,4455177;;
3;414;Barnstorf (Han);Bahnsteig 01;10492076;Personenaufzug Gl.1 (281313005);49406;Barnstorf;GLEIS 1;ThyssenKrupp;2014;Personenaufzüge;SEIL;2;;;;;;;BAHNSTEIG 1 ZUR PU;10000000;22500000;9500000;22000000;zu Gleis 1;21000000;281313005;;8,5103037;52,7076573;;
4;4076;Meschede;Bahnsteig 02;10501543;Personenaufzug;59872;Meschede;;Schindler;2017;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 2/3;;;;8,2788111;51,349693;;
7;3204;Kirchseeon;Bahnsteig 02,Außenbstg.,Gl.2,(Ri.Ebers.);10586183;HA 0211 Personenaufz Bstg.,Gl.2,(Ri.Ebe;85614;Kirchseeon;BAHNSTEIG GL 2 RI EBENHAUSEN;Schindler AG;2017;Personenaufzüge;SEIL;2;1;2;10000;;;10000000;BAHNSTEIG, GLEIS 2;10000000;18000000;18000000;22000000;Bahnsteig, Gleis 2;;DEU0020049097;ES2;11.887156;48.070919;;
7;4064;Mering;Bahnsteig 03 Gl. 5/6;10334496;Aufzug Bstg. Gl. 5/6;86415;Mering;BSTG - UNTERFÜHRUNG;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2;1;2;;45000;BAHNSTEIG;10250000;UNTERFÜHRUNG;10000000;21000000;11000000;22000000;zu Gleis 5/6;21000000;47NAE800;ZS2;10,9880282;48,2626672;;
2;1634;Erfurt Hbf;Bahnsteig 1/2;10310129;Personenaufzug Bstg 1/2;99084;Erfurt;46101.001;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;3;2;;;;;;;;;;;zu Gleis 1/2 Abschnitt D/E;;;;11,0379147;50,9725055;;
7;2240;Grafing Bahnhof;Hausbahnsteig Gleis 1 und 11;10597201;HA 0212 Personenaufzug Hydro-Seil;85567;Grafing;BAHNSTEIG 1 GL 1;thyssenkrupp Aufzüge GmbH;2019;Personenaufzüge;SEIL;2;2;2;10000;36900;;10000000;ZU GLEIS 1;10000000;16000000;13700000;22000000;zu Gleis 1;21000000;285018237;ES2;11.9406142;48.0432503;;
5;4471;Nidda;Bahnsteig Gl. 2/4;10420553;Personenaufzug HA 351;63667;Nidda;GLEIS 2/4;Thyssen Krupp;2009;Personenaufzüge;SEIL;2;2;;;40000;;10500000;;;;;;zu Gleis 2/4;;;;8,9991541;50,4111467;;
6;6107;Sulz (Neckar);Sulz, Bahnsteig 2/3;10568088;Sulz, Personenaufzug, Mittelbahnsteig;72172;Sulz;BAHNSTEIG 2;Schindler;2019;Personenaufzüge;SEIL;2;2;2;10000;44200;;10500000;;;;;;zum Gleis 2/3;;11123749;;8.636627;48.366596;;
4;1702;Essen-Gerschede;Personenaufzug S-Bstg.1;10480247;Personenaufzug HA 0004 SB 1;45357;Essen;BAHNSTEIG 1;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 1 (S-Bahn);;;;6,9430098;51,4832972;;
7;379;Baiersdorf;Bahnsteig Gleis 2/3 218 mtr.;10455962;Personenaufzug Bstg Gl. 2/3 (HA4035);91083;Baiersdorf;BSTG 2/3;Thyssen Krupp;2011;Personenaufzüge;SEIL;2;2;2;10000;45000;GLEIS 2/3;10500000;BAHNSTEIGMITTE;10000000;21000000;14000000;22000000;zu Gleis 2/3;21000000;285111006;;11,0370067;49,6560533;;
1;7729;Heiligensee;S-Bahnsteig 01;10121374;AZ Gl. 1 / Fabrik-Nr: 47 T 0048-0-1;13503;Berlin;;OTIS GmbH & Co. OHG;1998;Personenaufzüge;HYDRAULISCH;2;2;2;6000;56100;AUßEN;14250000;"GL1;AUSGANG";10000000;21000000;14000000;23000000;zu Gleis 1/2 (S-Bahn);21000000;47T0048-0-1;ZS2;13,2285495;52,6251496;;
3;4420;Neumünster;Bahnsteig 03 Gl. 5/6;10448880;Personenaufzug Bstg.3 HA4022 Neu;24534;Neumünster;;Thyssen Krupp;2010;Personenaufzüge;SEIL;2;1;2;10000;47100;;13250000;;;;;;zu Gleis 5/6 Abschnitt C;;;;9,9798685;54,0764005;;
2;5895;Sömmerda;Inselbahnsteig 2/3;10058637;Personenaufzug  Bstg 2/3 (244498752);99610;Sömmerda;TUNNEL;Thyssen Krupp;1999;Personenaufzüge;HYDRAULISCH;2;2;2;5000;;INTEGRIERT;10000000;;;;;;zu Gleis 2/3;;;;11,12733261;51,16473099;;
4;5219;Remscheid-Lennep;Bahnsteig 01 Gleis 1 Ri Wtal;10441834;HA 0026 Aufzug;42897;Remscheid-Lennep;BAHNSTEIG 1;Thyssen Krupp;2010;Personenaufzüge;SEIL;3;2;3;10000;45100;;10500000;;10050000;22580000;10920000;22710000;zu Gleis 1;20960000;282008031;ZS2;7,2531761;51,1904799;;
1;566;Berlin-Wannsee;S-Bahnsteig 02 Gl. 3/4;10007929;AZ Gl. 3-4 (S-Bahn)/Fabrik-Nr: 47KAG365;14109;Berlin;BSTG. B GLEIS 3/4;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;1;2;10000;45100;OBEN;10250000;;;;9400000;22000000;zu Gleis 3/4 (S-Bahn);21000000;47KAG365;ZS2;13,1795426;52,4211627;;
1;2447;Hackescher Markt;S-Bahnsteig;10467819;AZ Gl. 3-4 (Halle West)/F-Nr: 284011164;10178;Berlin;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;2;2;10000;67550;INNEN;10500000;"GL3/4;AUSGANG";10000000;21000000;11000000;22000000;zu Gleis 3/4 (S-Bahn);21000000;284011164;ZS2;13,4021597;52,5226233;;
1;909;Brück (Mark);Bahnsteig 2;10323741;Az Gl. 2 Fabrik.Nr.:47KAE294;14822;Brück;BSTG 2 ZUM PTU;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2;2;2;10000;44000;BSTG. ANFANG;10700000;BSTG. ANFANG;10000000;23000000;10000000;22000000;zu Gleis 2;21000000;47KAE295;ZS2;12,7582353;52,1865101;AUFZUG GLEIS 2;Regionalverkehr
1;1071;Berlin Hauptbahnhof;Unterfahrt/Schacht Aufzug F.A3;10316317;RA F.A 3 E-2 Gl 5/6 Nords. 47NP8587;10557;Berlin;HN.00.A03;OTIS GmbH & Co. OHG;2005;Personenaufzüge;INDIREKT HYDRAULISCH;3;2;3;6300;154000;;15000000;"GL5;GL6;1UG;0OG;AUSG";11050000;22200000;14050000;23500000;Nicht Reisendenrelevant;21000000;47NP8587;ES2;;;;
5;2827;Hofheim (Taunus);Hausbahnsteig;10121097;Personenaufzug HA 265  46101-001;65719;Hofheim (Taunus);;Universal Lift GmbH Berlin;1999;Personenaufzüge;HYDRAULISCH;2;2;2;6300;40700;BAHNSTEIG 1;6300000;;;;;;zu Gleis 1;;;;8,4448821;50,084098;;
1;527;Berlin-Friedrichstraße;Bahnsteig 1/2 (A);10508137;AZ Regio Bstg 1/2 Fabrik Nr: 10904355;10117;Berlin;;Schindler GmbH;2016;Personenaufzüge;SEIL;2;4;4;10000;78300;AUßEN;10000000;;9000000;21000000;11000000;22000000;zu Gleis 1/2;21000000;10904355;ZS2;13,3864556;52,520204;;
4;3337;Köln-Nippes;S-Bahnsteig 01;10035746;HA 1135 Aufzugsanlage;50739;Köln;261750;THYSSEN;1989;Personenaufzüge;SEIL;2;1;2;5000;69800;NEBEN;6300000;;;;;;zu Gleis 1/2 (S-Bahn);;;;6,941633829;50,95848644;;
3;2545;Hannover Hbf;FLE Turm Ost;10439300;Personenaufzug  Ost gr. Treppenh. 1 Ost;30159;Hannover;BT C OST KL. TREPPENH. 1 OST;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;6;1;7;16000;202100;INNEN;10000000;;9000000;21000000;11000000;23000000;von UG zu 4.OG;21000000;47KK6773;ES2;9,74199;52,37616;;
1;6840;Messe Nord / ICC (Witzleben);Ausgangsbauwerk Süd;10468024;AZ  Südzug. 284008079;14057;Berlin;;Thyssen;2009;Personenaufzüge;SEIL;2;1;2;10000;73600;AUßEN;13500000;ZUGANG SÜD - BSTG.;10000000;21000000;14000000;23000000;zu Gleis 1/2 (S-Bahn);21000000;284008079;ZS2;13,2826146;52,5061989;;
1;4092;Mexikoplatz;Ehemaliges Empfangsgebäude;10310415;AZ Gl. 1-2 / Fabrik-Nr: 47KP6552;14163;Berlin;;OTIS GmbH & Co. OHG;2002;Personenaufzüge;SEIL;2;2;2;10000;56400;AUßEN;6750000;"GL1/2;AUSGANG";9000000;15400000;9400000;22000000;zu Gleis 1/2 (S-Bahn);21000000;47KP6552;ES2;13,2321301;52,4372585;;
6;4;Aalen Hbf;Bahnsteig 01;10464456;PAufzug_Aalen_Bstg. 1;73430;Aalen;;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2;1;;10000;43800;;10500000;;;;;;zu Gleis 1;;;;10,0962998;48,8404066;;
2;5398;Rottenbach;Bahnsteig 1;10476345;Personenaufzug Bahnsteig 1;7422;Rottenbach;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;2;2;;;;;;;;;;zu Gleis 1;;;;11,17016119;50,6893541;;
1;5012;Potsdam Hbf;Inselbahnsteig, Gleis 1/3 (A);10508143;Az Gleis 1/3 Fabrik.Nr.: 20055033;14473;Potsdam;GL. 1/3;Fa. Schindler;2018;Personenaufzüge;SEIL;2;1;2;10000;63800;GL. 1/3;10000000;GL.1/3;10000000;21000000;11000000;22000000;zu Gleis 1/3;21000000;20055033;ZS2;13,0667135;52,3915973;Az.Gl. 2/4;Regional Verkehr
1;1932;Friedenau;Bahnsteig 1-2;10485755;AZ Bahnhofstr. - PU/Fabrik-Nr: 284012093;12159;Berlin;BAHNHOFSTRAßE - UNTERFÜHRUNG;Böhnke Partner;2014;Personenaufzüge;SEIL;2;2;2;10000;40000;INNEN;10500000;"STRAßE; PERSONENUNTERFÜHRUNG";10000000;21000000;11000000;22000000;von EG zu Tunnel;21000000;284012093;ZS2;13,3405235;52,46995067;;
5;2964;Idar-Oberstein;Bahnsteig 02;10440250;Personenaufzug Bstg 2 (HA MZ 23);55743;Idar-Oberstein;;Thyssen Krupp;2007;Personenaufzüge;SEIL;2;2;2;20000;41500;;10500000;;;;;;zu Gleis 2/3;;;;7,321310206;49,69935827;;
