Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
4;1392;Düren;Bahnsteig 2 (Gleis 3/4);10205340;Personenaufzug;52349;Düren;BAHNSTEIG 2;Mahler u. Paulus Aufzugsdienst;2000;Personenaufzüge;HYDRAULISCH;2;2;3;3900;47200;;10000000;;;;;;zu Gleis 3/4;;;;6,482305;50,8092818;;
6;6622;Weinheim (Bergstr);Bahnsteig C 4;10501058;PA_Bstg.4_Schindler_10865987;69469;Weinheim;BAHNSTEIG 4;Schindler;2016;Personenaufzüge;SEIL;2;2;2;;38900;;10500000;;;;;;zu Gleis 4;;10865987;;8,6651236;49,5533266;;
3;6838;Witzenhausen Nord;Bahnsteig Gleis 1;10378134;Personenaufzug Bstg 1 zur PU AMP;37213;Witzenhausen;BAHNSTEIG GLEIS 1;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2;1;1;10000;44300;;10250000;;10000000;22000000;11000000;22000000;zu Gleis 1;21000000;;;9,8627452;51,3515225;;
2;4067;Merseburg;Zuwegung Rosa-Luxenburg Str.;10475372;Personenaufzug Rosa-Luxenburg Straße;6217;Merseburg;ROSA-LUXENBURG STRAßE;Thyssen Krupp;2013;Personenaufzüge;SEIL;2;1;2;10000;37500;;10500000;;10000000;21000000;11000000;22500000;von EG zu Tunnel;21000000;286012030;ES2;11,990097;51,3569298;;
5;6612;Weilburg;Personenunterführung;10064619;Personenaufzug  ( BSTG ) HA 331;35781;Weilburg;BSTG / UNTERFÜHRUNG;Paul Schmidt;1999;Personenaufzüge;HYDRAULISCH;2;;;6000;43500;INTEGRIERT;8000000;;;;;;zu Gleis 1/2;;;;8,2680996;50,4867341;;
2;6617;Weimar;Bahnsteig 05;10191480;Personenaufzug 5;99423;Weimar;BSTG5;Schindler GmbH;1998;Personenaufzüge;HYDRAULISCH;2;2;1;;;;;;;;;;zu Gleis 5;;;;11,32627956;50,99175373;;
5;6457;Wabern (Bz Kassel);BSTG 3,Gl.5/6;10501772;Aufzug Bstg 3 HA K36;34590;Wabern;;Schindler;2018;Personenaufzüge;SEIL;2;2;4;10000;46040;;10000000;;;;;;Gleis 5/6;;11038935;;9.35809;51.10268;;
3;855;Bremen Hbf;Bahnsteig  2/3 (B);10471928;Personenaufzug Gl 2/3 (281310026);28195;Bremen;"53Â°04'58.7""N 8Â°48'47.9""E";Thyssen Krupp;2012;Personenaufzüge;SEIL;2;2;3;10000;50900;AUßEN;10500000;;;;;;zu Gleis 2/3 Abschnitt B/C;;281310026;;8,8134706;53,0830859;;
6;6464;Waghäusel;Verkehrsflächen;10501575;Waghäusel Aufzug Bahnhofsvorplatz;68753;Waghäusel;;Fa.Schindler;2018;Personenaufzüge;SEIL;2;2;2;10000;40500;;10500000;;;;;22000000;zu Bahnhofs Vorplatz;;11035007;;8.50857;49.24805;;
6;692;Blankenloch;Bahnsteig A -- Gleis 1 -- Ri Mannheim;10496150;PAufzug_Bstg.1;76297;Stutensee;AUFZUG NR.10770351;Schindler GmbH;2015;Personenaufzüge;SEIL;2;2;;10000;42060;;10500000;;9000000;;;;zu Gleis 1;21000000;10770351;;8,4649948;49,0664645;;
